,ex,symbol,price,+2% depth,-2% depth,volume,volume%,confidence,liquidity,updated,base,quote
15,Binance,BTC/EUR,"$53,598.48","$2,228,529.36","$1,638,032.34","$133,274,604",0.35%,High,840,Recently,BTC,EUR
16,Binance,ETH/USDT,"$3,623.20","$20,845,383.77","$10,308,998.30","$1,759,607,382",9.25%,High,860,Recently,ETH,USDT
17,Coinbase Exchange,ETH/USD,"$3,623.85","$18,448,539.30","$10,674,239.66","$689,267,994",3.62%,High,862,Recently,ETH,USD
18,Huobi Global,ETH/USDT,"$3,622.43","$6,788,393.98","$7,592,518.36","$680,514,210",3.58%,Low,877,Recently,ETH,USDT
19,Binance,ETH/BUSD,"$3,623.37","$7,248,389.84","$4,176,977.84","$600,983,988",3.16%,High,838,Recently,ETH,BUSD
20,KuCoin,ETH/USDT,"$3,621.86","$7,443,777.44","$4,726,888.85","$424,328,692",2.23%,High,869,Recently,ETH,USDT
21,FTX,ETH/USD,"$3,622.80","$6,732,702.83","$5,727,247.12","$384,282,281",2.02%,Moderate,863,Recently,ETH,USD
22,Binance,ETH/BTC,"$3,621.97","$7,778,229.48","$4,022,190.77","$379,975,922",2.00%,High,870,Recently,ETH,BTC
23,Gate.io,ETH/USDT,"$3,622.43","$1,974,723.03","$1,973,786.70","$255,028,633",1.34%,High,768,Recently,ETH,USDT
24,Binance,ETH/EUR,"$3,584.95","$1,764,272.15","$1,100,127.50","$130,305,356",0.69%,High,646,Recently,ETH,EUR
25,FTX,ETH/USDT,"$3,622.05","$2,321,873.40","$1,931,449.60","$103,389,299",0.54%,High,854,Recently,ETH,USDT
26,Bithumb,ETH/KRW,"$3,690.86","$3,442,615.34","$2,400,280.66","$87,903,843",0.46%,High,344,Recently,ETH,KRW
27,Bitfinex,ETH/USD,"$3,622.90","$17,437,520.79","$14,988,055.54","$85,858,063",0.45%,High,669,Recently,ETH,USD
28,Kraken,ETH/USD,"$3,624.27","$25,017,416.26","$23,839,785.85","$84,713,064",0.45%,High,763,Recently,ETH,USD
29,Binance.US,ETH/USD,"$3,624.62","$2,739,542.69","$2,847,233.73","$81,072,235",0.43%,High,629,Recently,ETH,USD
30,bitFlyer,ETH/JPY,"$3,614.53","$3,079,693.82","$1,611,101.98","$66,871,989",0.35%,High,310,Recently,ETH,JPY
31,Binance,BNB/USDT,$443.48,"$8,859,345.83","$5,103,339.24","$516,453,082",25.94%,High,570,Recently,BNB,USDT
32,Binance,BNB/BUSD,$443.49,"$3,491,539.90","$1,540,758.03","$154,262,927",7.75%,High,525,Recently,BNB,BUSD
33,Binance,BNB/BTC,$443.72,"$1,030,163.68","$1,208,880.08","$88,314,357",4.44%,High,636,Recently,BNB,BTC
34,FTX,BNB/USD,$444.01,"$2,524,834.74","$2,600,863.40","$69,034,122",3.47%,High,713,Recently,BNB,USD
35,Gate.io,BNB/USDT,$443.72,"$739,558.15","$937,593.57","$54,784,693",2.75%,High,440,Recently,BNB,USDT
36,Binance.US,BNB/USD,$444.07,"$1,053,272.82","$734,269.10","$40,554,826",2.04%,High,647,Recently,BNB,USD
37,FTX,BNB/USDT,$443.84,"$2,047,894.57","$2,535,709.75","$36,021,135",1.81%,High,617,Recently,BNB,USDT
38,KuCoin,BNB/USDT,$443.71,"$1,575,721.68","$899,568.47","$26,995,802",1.36%,High,552,Recently,BNB,USDT
39,Binance,BNB/ETH,$443.84,"$303,082.56","$1,297,666.21","$24,122,834",1.21%,High,532,Recently,BNB,ETH
40,Binance,DOT/BNB,$443.48,"$133,815.82","$228,417.62","$16,068,429",0.81%,High,658,Recently,DOT,BNB
41,Binance,LUNA/BNB,$443.48,"$30,698.39","$178,021.44","$12,698,266",0.64%,High,804,Recently,LUNA,BNB
42,Binance,FTM/BNB,$443.48,"$64,027.07","$76,019.05","$11,878,317",0.60%,High,890,Recently,FTM,BNB
43,Binance,BNB/EUR,$438.93,"$297,733.63","$224,109.81","$11,399,426",0.57%,High,841,Recently,BNB,EUR
44,Binance,CAKE/BNB,$443.48,"$172,884.76","$157,487.16","$9,177,463",0.46%,High,734,Recently,CAKE,BNB
45,Binance,SOL/BNB,$443.48,"$114,388.16","$447,846.53","$7,594,427",0.38%,High,643,Recently,SOL,BNB
46,Binance,ADA/USDT,$2.30,"$3,735,825.24","$4,551,968.78","$587,962,066",17.82%,High,901,Recently,ADA,USDT
47,Coinbase Exchange,ADA/USD,$2.30,"$2,579,600.52","$2,837,264.94","$309,190,148",9.37%,High,674,Recently,ADA,USD
48,Binance,ADA/BTC,$2.30,"$1,027,921.18","$893,475.49","$122,837,715",3.72%,High,670,Recently,ADA,BTC
49,Binance,ADA/BUSD,$2.30,"$1,303,067.28","$1,334,903.21","$120,301,123",3.65%,High,790,Recently,ADA,BUSD
50,Huobi Global,ADA/USDT,$2.30,"$1,710,224.01","$1,622,451.87","$111,400,165",3.38%,Low,572,Recently,ADA,USDT
51,Binance.US,ADA/USD,$2.30,"$1,442,610.87","$1,335,382.51","$66,761,768",2.02%,High,906,Recently,ADA,USD
